iter	RMSE
0	2.517500525
1	2.510931655
2	2.506567425
3	2.503194839
4	2.497206297
5	2.492552821
6	2.488246757
7	2.482450176
8	2.479710469
9	2.476134936
10	2.470905551
11	2.468929517
12	2.463857107
13	2.459762021
14	2.457229989
15	2.455410773
16	2.451684623
17	2.449224933
18	2.446338267
19	2.443049914
20	2.43938713
21	2.436601766
22	2.430320773
23	2.429027979
24	2.426203327
25	2.422922566
26	2.419635379
27	2.415970992
28	2.413216975
29	2.408336218
30	2.406441904
31	2.40390265
32	2.401645384
33	2.397150291
34	2.394815892
35	2.392669176
36	2.390420652
37	2.388563812
38	2.384957353
39	2.381219735
40	2.377621714
41	2.373659609
42	2.370149632
43	2.367685179
44	2.366232194
45	2.363969222
46	2.362511489
47	2.360526492
48	2.358407025
49	2.356843283
50	2.353239348
51	2.352870118
52	2.351174877
53	2.348499018
54	2.346403083
55	2.344531793
56	2.340756778
57	2.339364789
58	2.337939226
59	2.336604139
60	2.333993146
61	2.333015797
62	2.330016296
63	2.328752042
64	2.327436946
65	2.325185094
66	2.323589902
67	2.32181669
68	2.319273818
69	2.317725281
70	2.315141087
71	2.312923503
72	2.310073124
73	2.308041745
74	2.307681086
75	2.304144751
76	2.301792923
77	2.300679642
78	2.297915283
79	2.295677741
80	2.29198972
81	2.290668998
82	2.289798174
83	2.286803414
84	2.2851651
85	2.282599339
86	2.28048172
87	2.277444226
88	2.275603469
89	2.274385372
90	2.271932393
91	2.269814178
92	2.268242878
93	2.267374668
94	2.265032354
95	2.262852079
96	2.261698048
97	2.258094818
98	2.255964038
99	2.253749082
100	2.252547081
101	2.249680409
102	2.247811752
103	2.246388292
104	2.244641428
105	2.242367508
106	2.240074336
107	2.23873987
108	2.236815364
109	2.234176132
110	2.232484818
111	2.230468006
112	2.229173691
113	2.227770465
114	2.226484178
115	2.225069769
116	2.223567055
117	2.222294161
118	2.219678447
119	2.219676623
120	2.218521285
121	2.216938037
122	2.214818348
123	2.213343993
124	2.211648065
125	2.209922914
126	2.209472646
127	2.206790838
128	2.20471053
129	2.203078978
130	2.200559216
131	2.199329749
132	2.197920207
133	2.196586989
134	2.194846292
135	2.193006275
136	2.191740291
137	2.189742062
138	2.187602104
139	2.18493046
140	2.183058721
141	2.182259367
142	2.181230565
143	2.177822599
144	2.176346071
145	2.174193695
146	2.172386207
147	2.169827119
148	2.168380924
149	2.166919072
150	2.166122327
151	2.164694494
152	2.163101677
153	2.161080466
154	2.159678711
155	2.158234685
156	2.15649764
157	2.15472648
158	2.152197914
159	2.150373482
