iter	Passed	Remaining
0	0	862
1	1	781
2	2	753
3	2	724
4	3	739
5	4	731
6	5	715
7	5	705
8	6	695
9	6	687
10	7	684
11	7	656
12	8	657
13	9	655
14	10	657
15	10	643
16	11	647
17	11	650
18	12	645
19	13	639
20	13	636
21	14	630
22	14	624
23	15	620
24	15	618
25	16	615
26	17	613
27	17	612
28	18	610
29	18	608
30	19	604
31	19	602
32	20	600
33	21	598
34	21	600
35	22	599
36	23	600
37	23	598
38	24	597
39	24	595
40	25	593
41	25	592
42	26	590
43	27	594
44	27	593
45	28	591
46	29	590
47	29	588
48	30	587
49	30	586
50	31	584
51	31	576
52	32	576
53	32	575
54	33	574
55	33	573
56	34	572
57	35	571
58	35	570
59	36	570
60	36	568
61	37	564
62	37	563
63	38	563
64	39	562
65	39	561
66	40	562
67	40	561
68	41	560
69	42	559
70	42	560
71	43	560
72	44	560
73	44	559
74	45	555
75	45	554
76	46	554
77	46	553
78	47	552
79	47	551
80	48	551
81	49	550
82	49	549
83	50	549
84	50	548
85	51	547
86	52	546
87	52	546
88	53	545
89	53	545
90	54	544
91	55	543
92	55	542
93	56	541
94	56	541
95	57	540
96	57	539
97	58	539
98	59	539
99	59	538
100	60	538
101	61	537
102	61	536
103	62	536
104	62	535
105	63	534
106	64	534
107	64	532
108	65	532
109	65	531
110	66	530
111	66	529
112	67	529
113	67	528
114	68	527
115	69	526
116	69	525
117	70	525
118	70	524
119	70	520
120	71	519
121	72	518
122	72	517
123	73	516
124	73	516
125	74	516
126	75	516
127	75	515
128	76	514
129	76	513
130	77	513
131	77	512
132	78	512
133	79	511
134	79	510
135	80	510
136	80	509
137	81	509
138	82	509
139	82	508
140	83	507
141	83	507
142	84	506
143	85	506
144	85	505
145	86	504
146	86	504
147	87	503
148	87	502
149	88	501
150	89	501
151	89	500
152	90	499
153	91	499
154	91	500
155	92	500
156	93	499
157	93	498
158	94	497
159	94	497
160	95	496
161	95	496
162	96	495
163	97	494
164	97	493
165	98	493
166	98	492
167	99	491
168	99	491
169	100	490
170	101	489
171	101	488
172	102	488
173	102	487
174	103	486
175	103	486
176	104	485
177	104	484
178	105	484
179	106	484
180	106	483
181	107	482
182	107	481
183	108	481
184	109	480
185	109	480
186	110	479
187	110	479
188	111	478
189	112	478
190	112	477
191	113	476
192	113	476
193	114	475
194	115	475
195	115	474
196	116	473
197	116	473
198	117	472
199	118	472
200	118	471
201	119	471
202	119	470
203	120	469
204	120	468
205	121	468
206	122	468
207	122	467
208	123	467
209	124	466
210	124	466
211	125	466
212	126	465
213	126	465
214	127	464
215	127	463
216	128	463
217	128	462
218	129	461
219	129	460
220	130	460
221	131	459
222	131	459
223	132	458
224	132	457
225	133	457
226	134	456
227	134	455
228	135	455
229	135	454
230	136	454
231	136	453
232	137	452
233	138	452
234	138	451
235	139	451
236	140	450
237	140	450
238	141	449
239	141	448
240	142	448
241	142	447
242	143	447
243	144	446
244	144	445
245	145	444
246	145	444
247	146	443
248	146	442
249	147	442
250	147	441
251	148	440
252	149	440
253	149	439
254	150	439
255	150	438
256	151	437
257	151	437
258	152	436
259	153	436
260	153	435
261	154	435
262	155	434
263	155	434
264	156	433
265	156	433
266	157	432
267	158	431
268	158	431
269	159	430
270	159	430
271	160	429
272	161	428
273	161	428
274	162	427
275	162	427
276	163	426
277	164	425
278	164	425
279	165	424
280	165	423
281	166	423
282	166	422
283	167	422
284	168	421
285	168	421
286	169	420
287	169	420
288	170	419
289	171	419
290	171	418
291	172	417
292	172	417
293	173	416
294	174	415
295	174	415
296	175	414
297	175	414
298	176	414
299	177	413
300	177	412
301	178	412
302	178	411
303	179	411
304	180	410
305	180	409
306	181	409
307	181	408
308	182	407
309	182	407
310	183	406
311	184	405
312	184	405
313	185	405
314	186	404
315	186	404
316	187	404
317	188	404
318	189	403
319	189	403
320	190	402
321	191	402
322	191	402
323	192	401
324	193	401
325	193	400
326	194	399
327	194	399
328	195	398
329	196	398
330	196	397
331	197	396
332	197	396
333	198	395
334	199	395
335	199	394
336	200	393
337	200	393
338	201	393
339	202	392
340	202	391
341	203	391
342	203	390
343	204	390
344	205	389
345	205	388
346	206	388
347	206	387
348	207	386
349	208	386
350	208	385
351	209	385
352	209	384
353	210	383
354	210	383
355	211	382
356	212	382
357	212	381
358	213	381
359	214	380
360	214	379
361	215	379
362	215	378
363	216	378
364	217	377
365	217	376
366	218	376
367	218	375
368	219	374
369	219	374
370	220	373
371	221	373
372	221	372
373	222	371
374	222	371
375	223	370
376	223	369
377	224	369
378	225	368
379	225	368
380	226	367
381	226	367
382	227	366
383	228	366
384	228	365
385	229	364
386	229	364
387	230	363
388	230	362
389	231	362
390	232	361
391	232	361
392	233	360
393	234	360
394	234	359
395	235	359
396	236	358
397	236	358
398	237	357
399	238	357
400	238	356
401	239	355
402	239	355
403	240	354
404	240	354
405	241	353
406	242	352
407	242	352
408	243	351
409	243	350
410	244	350
411	245	349
412	245	349
413	246	348
414	246	347
415	247	347
416	247	346
417	248	346
418	249	345
419	250	345
420	250	344
421	251	344
422	251	343
423	252	342
424	253	342
425	253	341
426	254	341
427	254	340
428	255	340
429	256	339
430	256	338
431	257	338
432	257	337
433	258	337
434	259	336
435	259	335
436	260	335
437	260	334
438	261	334
439	261	333
440	262	332
441	263	332
442	263	331
443	264	331
444	264	330
445	265	330
446	266	329
447	267	329
448	267	328
449	268	328
450	269	327
451	269	326
452	270	326
453	270	325
454	271	325
455	271	324
456	272	323
457	273	323
458	273	322
459	274	322
460	275	321
461	275	321
462	276	320
463	276	319
464	277	319
465	278	318
466	278	317
467	279	317
468	279	316
469	280	316
470	281	315
471	281	315
472	282	314
473	282	313
474	283	313
475	284	312
476	284	312
477	285	311
478	285	310
479	286	310
480	287	309
481	287	309
482	288	308
483	288	308
484	289	307
485	290	307
486	290	306
487	291	305
488	291	305
489	292	304
490	293	303
491	293	303
492	294	302
493	294	302
494	295	301
495	296	301
496	296	300
497	297	299
498	297	299
499	298	298
500	299	297
501	299	297
502	300	296
503	300	296
504	301	295
505	302	294
506	302	294
507	303	293
508	304	293
509	304	292
510	305	292
511	305	291
512	306	290
513	306	290
514	307	289
515	307	288
516	308	288
517	309	287
518	309	287
519	310	286
520	310	285
521	311	285
522	312	284
523	313	284
524	313	283
525	314	283
526	314	282
527	315	282
528	316	281
529	316	281
530	317	280
531	318	279
532	318	279
533	319	278
534	320	278
535	320	277
536	321	276
537	321	276
538	322	275
539	322	275
540	323	274
541	324	273
542	324	273
543	325	272
544	325	272
545	326	271
546	327	270
547	327	270
548	328	269
549	329	269
550	329	268
551	330	268
552	330	267
553	331	266
554	331	266
555	332	265
556	333	264
557	333	264
558	334	263
559	334	263
560	335	262
561	336	261
562	336	261
563	337	260
564	337	260
565	338	259
566	339	258
567	339	258
568	340	257
569	340	257
570	341	256
571	341	255
572	342	255
573	343	254
574	343	254
575	344	253
576	345	252
577	345	252
578	346	251
579	346	251
580	347	250
581	348	249
582	348	249
583	349	248
584	349	248
585	350	247
586	350	246
587	351	246
588	352	245
589	352	245
590	353	244
591	353	243
592	354	243
593	355	242
594	355	242
595	356	241
596	357	240
597	357	240
598	358	239
599	358	239
600	359	238
601	360	238
602	360	237
603	361	236
604	361	236
605	362	235
606	363	235
607	363	234
608	364	233
609	365	233
610	365	232
611	366	232
612	366	231
613	367	230
614	367	230
615	368	229
616	369	229
617	369	228
618	370	227
619	370	227
620	371	226
621	372	226
622	372	225
623	373	224
624	373	224
625	374	223
626	375	223
627	375	222
628	376	221
629	376	221
630	377	220
631	378	220
632	378	219
633	379	218
634	379	218
635	380	217
636	381	217
637	381	216
638	382	215
639	382	215
640	383	214
641	384	214
642	384	213
643	385	213
644	385	212
645	386	211
646	387	211
647	387	210
648	388	209
649	388	209
650	389	208
651	389	208
652	390	207
653	391	207
654	392	206
655	392	205
656	393	205
657	393	204
658	394	204
659	395	203
660	395	202
661	396	202
662	396	201
663	397	201
664	398	200
665	398	199
666	399	199
667	399	198
668	400	198
669	400	197
670	401	196
671	402	196
672	402	195
673	403	195
674	403	194
675	404	193
676	404	193
677	405	192
678	406	192
679	406	191
680	407	190
681	408	190
682	408	189
683	409	189
684	409	188
685	410	187
686	411	187
687	411	186
688	412	186
689	412	185
690	413	184
691	413	184
692	414	183
693	414	182
694	415	182
695	416	181
696	416	181
697	417	180
698	417	179
699	418	179
700	419	178
701	419	178
702	420	177
703	420	176
704	421	176
705	422	175
706	422	175
707	423	174
708	424	174
709	424	173
710	425	172
711	425	172
712	426	171
713	427	171
714	427	170
715	428	169
716	428	169
717	429	168
718	430	168
719	430	167
720	431	166
721	431	166
722	432	165
723	433	165
724	433	164
725	434	163
726	434	163
727	435	162
728	435	162
729	436	161
730	437	160
731	437	160
732	438	159
733	439	159
734	439	158
735	440	157
736	440	157
737	441	156
738	442	156
739	442	155
740	443	154
741	443	154
742	444	153
743	445	153
744	445	152
745	446	151
746	446	151
747	447	150
748	447	150
749	448	149
750	449	148
751	449	148
752	450	147
753	450	147
754	451	146
755	451	145
756	452	145
757	453	144
758	453	144
759	454	143
760	455	142
761	455	142
762	456	141
763	456	141
764	457	140
765	458	139
766	458	139
767	459	138
768	459	138
769	460	137
770	460	136
771	461	136
772	462	135
773	462	135
774	463	134
775	463	133
776	464	133
777	464	132
778	465	132
779	466	131
780	466	130
781	467	130
782	467	129
783	468	129
784	469	128
785	469	127
786	470	127
787	471	126
788	471	126
789	472	125
790	473	124
791	473	124
792	474	123
793	474	123
794	475	122
795	475	121
796	476	121
797	477	120
798	477	120
799	478	119
800	478	118
801	479	118
802	480	117
803	480	117
804	481	116
805	481	115
806	482	115
807	483	114
808	483	114
809	484	113
810	485	113
811	485	112
812	486	111
813	487	111
814	487	110
815	488	110
816	489	109
817	489	108
818	490	108
819	491	107
820	491	107
821	492	106
822	492	105
823	493	105
824	493	104
825	494	104
826	495	103
827	495	102
828	496	102
829	496	101
830	497	101
831	498	100
832	498	99
833	499	99
834	499	98
835	500	98
836	500	97
837	501	96
838	502	96
839	502	95
840	503	95
841	504	94
842	504	93
843	505	93
844	505	92
845	506	92
846	506	91
847	507	90
848	508	90
849	508	89
850	509	89
851	509	88
852	510	87
853	510	87
854	511	86
855	512	86
856	512	85
857	513	84
858	513	84
859	514	83
860	515	83
861	515	82
862	516	81
863	517	81
864	517	80
865	518	80
866	518	79
867	519	78
868	519	78
869	520	77
870	521	77
871	521	76
872	522	75
873	522	75
874	523	74
875	524	74
876	524	73
877	525	72
878	525	72
879	526	71
880	526	71
881	527	70
882	527	69
883	528	69
884	529	68
885	529	68
886	530	67
887	530	66
888	531	66
889	531	65
890	532	65
891	533	64
892	533	63
893	534	63
894	535	62
895	535	62
896	536	61
897	536	60
898	537	60
899	538	59
900	538	59
901	539	58
902	539	57
903	540	57
904	540	56
905	541	56
906	542	55
907	542	54
908	543	54
909	543	53
910	544	53
911	544	52
912	545	51
913	546	51
914	546	50
915	547	50
916	547	49
917	548	49
918	549	48
919	549	47
920	550	47
921	550	46
922	551	46
923	552	45
924	552	44
925	553	44
926	553	43
927	554	43
928	554	42
929	555	41
930	556	41
931	556	40
932	557	40
933	557	39
934	558	38
935	558	38
936	559	37
937	559	37
938	560	36
939	561	35
940	561	35
941	562	34
942	562	34
943	563	33
944	564	32
945	564	32
946	565	31
947	565	31
948	566	30
949	567	29
950	567	29
951	568	28
952	568	28
953	569	27
954	570	26
955	570	26
956	571	25
957	571	25
958	572	24
959	573	23
960	573	23
961	574	22
962	574	22
963	575	21
964	575	20
965	576	20
966	577	19
967	577	19
968	578	18
969	578	17
970	579	17
971	580	16
972	580	16
973	581	15
974	581	14
975	582	14
976	583	13
977	583	13
978	584	12
979	584	11
980	585	11
981	586	10
982	586	10
983	587	9
984	587	8
985	588	8
986	589	7
987	589	7
988	590	6
989	590	5
990	591	5
991	591	4
992	592	4
993	593	3
994	593	2
995	594	2
996	594	1
997	595	1
998	596	0
999	596	0
